id,name,score,age
0,User0,80,20
1,User1,81,21
2,User2,82,22
3,User3,83,23
4,User4,84,24
5,User5,85,25
6,User6,86,26
7,User7,87,27
8,User8,88,28
9,User9,89,29
10,User10,90,30
11,User11,91,31
12,User12,92,32
13,User13,93,33
14,User14,94,34
15,User15,95,35
16,User16,96,36
17,User17,97,37
18,User18,98,38
19,User19,99,39
20,User20,100,40
21,User21,80,41
22,User22,81,42
23,User23,82,43
24,User24,83,44
25,User25,84,45
26,User26,85,46
27,User27,86,47
28,User28,87,48
29,User29,88,20
30,User30,89,21
31,User31,90,22
32,User32,91,23
33,User33,92,24
34,User34,93,25
35,User35,94,26
36,User36,95,27
37,User37,96,28
38,User38,97,29
39,User39,98,30
40,User40,99,31
41,User41,100,32
42,User42,80,33
43,User43,81,34
44,User44,82,35
45,User45,83,36
46,User46,84,37
47,User47,85,38
48,User48,86,39
49,User49,87,40
50,User50,88,41
51,User51,89,42
52,User52,90,43
53,User53,91,44
54,User54,92,45
55,User55,93,46
56,User56,94,47
57,User57,95,48
58,User58,96,20
59,User59,97,21
60,User60,98,22
61,User61,99,23
62,User62,100,24
63,User63,80,25
64,User64,81,26
65,User65,82,27
66,User66,83,28
67,User67,84,29
68,User68,85,30
69,User69,86,31
70,User70,87,32
71,User71,88,33
72,User72,89,34
73,User73,90,35
74,User74,91,36
75,User75,92,37
76,User76,93,38
77,User77,94,39
78,User78,95,40
79,User79,96,41
80,User80,97,42
81,User81,98,43
82,User82,99,44
83,User83,100,45
84,User84,80,46
85,User85,81,47
86,User86,82,48
87,User87,83,20
88,User88,84,21
89,User89,85,22
90,User90,86,23
91,User91,87,24
92,User92,88,25
93,User93,89,26
94,User94,90,27
95,User95,91,28
96,User96,92,29
97,User97,93,30
98,User98,94,31
99,User99,95,32
100,User100,96,33
101,User101,97,34
102,User102,98,35
103,User103,99,36
104,User104,100,37
105,User105,80,38
106,User106,81,39
107,User107,82,40
108,User108,83,41
109,User109,84,42
110,User110,85,43
111,User111,86,44
112,User112,87,45
113,User113,88,46
114,User114,89,47
115,User115,90,48
116,User116,91,20
117,User117,92,21
118,User118,93,22
119,User119,94,23
120,User120,95,24
121,User121,96,25
122,User122,97,26
123,User123,98,27
124,User124,99,28
125,User125,100,29
126,User126,80,30
127,User127,81,31
128,User128,82,32
129,User129,83,33
130,User130,84,34
131,User131,85,35
132,User132,86,36
133,User133,87,37
134,User134,88,38
135,User135,89,39
136,User136,90,40
137,User137,91,41
138,User138,92,42
139,User139,93,43
140,User140,94,44
141,User141,95,45
142,User142,96,46
143,User143,97,47
144,User144,98,48
145,User145,99,20
146,User146,100,21
147,User147,80,22
148,User148,81,23
149,User149,82,24
150,User150,83,25
151,User151,84,26
152,User152,85,27
153,User153,86,28
154,User154,87,29
155,User155,88,30
156,User156,89,31
157,User157,90,32
158,User158,91,33
159,User159,92,34
160,User160,93,35
161,User161,94,36
162,User162,95,37
163,User163,96,38
164,User164,97,39
165,User165,98,40
166,User166,99,41
167,User167,100,42
168,User168,80,43
169,User169,81,44
170,User170,82,45
171,User171,83,46
172,User172,84,47
173,User173,85,48
174,User174,86,20
175,User175,87,21
176,User176,88,22
177,User177,89,23
178,User178,90,24
179,User179,91,25
180,User180,92,26
181,User181,93,27
182,User182,94,28
183,User183,95,29
184,User184,96,30
185,User185,97,31
186,User186,98,32
187,User187,99,33
188,User188,100,34
189,User189,80,35
190,User190,81,36
191,User191,82,37
192,User192,83,38
193,User193,84,39
194,User194,85,40
195,User195,86,41
196,User196,87,42
197,User197,88,43
198,User198,89,44
